benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize
rc.1-1-hc-po-4.dft 177 35 33 10 2
rc.1-1-sc-po-4.dft 48 15 14 10 1
rc.1-10-hc-po-4.dft 1126 45 34 10 2
rc.1-10-sc-po-4.dft 759 25 15 10 1
rc.1-15-hc-po-4.dft 1962 50 34 10 2
rc.1-15-sc-po-4.dft 1466 30 15 10 1
rc.1-2-hc-po-4.dft 249 37 34 10 2
rc.1-2-sc-po-4.dft 96 17 15 10 1
rc.1-20-hc-po-4.dft 2996 55 34 10 2
rc.1-20-sc-po-4.dft 2378 35 15 10 1
rc.1-25-hc-po-4.dft 4417 60 34 10 2
rc.1-25-sc-po-4.dft 3522 40 15 10 1
rc.1-3-hc-po-4.dft 333 38 34 10 2
rc.1-3-sc-po-4.dft 146 18 15 10 1
rc.1-30-hc-po-4.dft 5745 65 34 10 2
rc.1-30-sc-po-4.dft 4893 45 15 10 1
rc.1-4-hc-po-4.dft 417 39 34 10 2
rc.1-4-sc-po-4.dft 208 19 15 10 1
rc.1-5-hc-po-4.dft 513 40 34 10 2
rc.1-5-sc-po-4.dft 280 20 15 10 1
rc.10-1-hc-po-4.dft 1035 135 133 10 2
rc.10-1-sc-po-4.dft 676 115 114 10 1
rc.10-10-hc-po-4.dft 2791 145 134 10 2
rc.10-10-sc-po-4.dft 2144 125 115 10 1
rc.15-1-hc-po-4.dft 1822 190 188 10 2
rc.15-1-sc-po-4.dft 1335 170 169 10 1
rc.15-15-hc-po-4.dft 5435 205 189 10 2
rc.15-15-sc-po-4.dft 4622 185 170 10 1
rc.2-1-hc-po-4.dft 242 47 45 10 2
rc.2-1-sc-po-4.dft 97 27 26 10 1
rc.2-2-hc-po-4.dft 324 49 46 10 2
rc.2-2-sc-po-4.dft 148 29 27 10 1
rc.2-3-hc-po-4.dft 416 50 46 10 2
rc.2-3-sc-po-4.dft 209 30 27 10 1
rc.2-4-hc-po-4.dft 509 51 46 10 2
rc.2-4-sc-po-4.dft 273 31 27 10 1
rc.20-1-hc-po-4.dft 2835 245 243 10 2
rc.20-1-sc-po-4.dft 2224 225 224 10 1
rc.20-20-hc-po-4.dft 9022 265 244 10 2
rc.20-20-sc-po-4.dft 8651 245 225 10 1
rc.25-1-hc-po-4.dft 4217 300 298 10 2
rc.25-1-sc-po-4.dft 3344 280 279 10 1
rc.25-25-hc-po-4.dft 13545 325 299 10 2
rc.25-25-sc-po-4.dft 12179 305 280 10 1
rc.3-1-hc-po-4.dft 304 58 56 10 2
rc.3-1-sc-po-4.dft 126 38 37 10 1
rc.3-2-hc-po-4.dft 403 60 57 10 2
rc.3-2-sc-po-4.dft 197 40 38 10 1
rc.3-3-hc-po-4.dft 501 61 57 10 2
rc.3-3-sc-po-4.dft 265 41 38 10 1
rc.3-4-hc-po-4.dft 609 62 57 10 2
rc.3-4-sc-po-4.dft 343 42 38 10 1
rc.30-1-hc-po-4.dft 5542 355 353 10 2
rc.30-1-sc-po-4.dft 4805 335 334 10 1
rc.30-30-hc-po-4.dft 19211 385 354 10 2
rc.30-30-sc-po-4.dft 17520 365 335 10 1
rc.4-1-hc-po-4.dft 384 69 67 10 2
rc.4-1-sc-po-4.dft 178 49 48 10 1
rc.4-2-hc-po-4.dft 496 71 68 10 2
rc.4-2-sc-po-4.dft 254 51 49 10 1
rc.4-3-hc-po-4.dft 596 72 68 10 2
rc.4-3-sc-po-4.dft 342 52 49 10 1
rc.4-4-hc-po-4.dft 714 73 68 10 2
rc.4-4-sc-po-4.dft 424 53 49 10 1
rc.5-1-hc-po-4.dft 468 80 78 10 2
rc.5-1-sc-po-4.dft 237 60 59 10 1
rc.5-5-hc-po-4.dft 966 85 79 10 2
rc.5-5-sc-po-4.dft 625 65 60 10 1
