benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
vgs_1-repair-po-4.dft 1993 59 59 N/A N/A 1
vgs_2-repair-po-4.dft 1759 49 49 N/A N/A 1
vgs_3-repair-po-4.dft 1325 52 52 N/A N/A 1
vgs_4-repair-po-4.dft 1200000 7 6 N/A N/A N/A
vgs_5-repair-po-4.dft 1425 49 49 N/A N/A 1
vgs_6-repair-po-4.dft 1550 53 53 N/A N/A 1
vgs_7-repair-po-4.dft 2571 79 79 N/A N/A 1
vgs_8-repair-po-4.dft 3220 80 80 N/A N/A 1
