benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
vgs_1-repair-po-0.dft 1166 2 2 N/A N/A 1
vgs_2-repair-po-0.dft 1078 2 2 N/A N/A 1
vgs_3-repair-po-0.dft 653 2 2 N/A N/A 1
vgs_4-repair-po-0.dft 1200000 2 1 N/A N/A N/A
vgs_5-repair-po-0.dft 702 2 2 N/A N/A 1
vgs_6-repair-po-0.dft 895 2 2 N/A N/A 1
vgs_7-repair-po-0.dft 1532 2 2 N/A N/A 1
vgs_8-repair-po-0.dft 2045 2 2 N/A N/A 1
