benchmarkName,time,countModules,countTrimmedModules,maxModuleSize,maxModuleRaSize
rc.1-30-hc-repair.dft,OOM,1,N/A,349,N/A
rc.1-30-sc-repair.dft,OOM,1,N/A,317,N/A
rc.1-4-hc-repair.dft,OOM,1,N/A,89,N/A
rc.1-4-sc-repair.dft,OOM,1,N/A,57,N/A
rc.1-5-hc-repair.dft,OOM,1,N/A,99,N/A
rc.1-5-sc-repair.dft,OOM,1,N/A,67,N/A
rc.10-1-hc-repair.dft,OOM,1,N/A,167,N/A
rc.10-1-sc-repair.dft,OOM,1,N/A,135,N/A
rc.10-10-hc-repair.dft,OOM,1,N/A,258,N/A
rc.10-10-sc-repair.dft,OOM,1,N/A,226,N/A
rc.15-1-hc-repair.dft,OOM,1,N/A,227,N/A
rc.15-1-sc-repair.dft,OOM,1,N/A,195,N/A
rc.15-15-hc-repair.dft,OOM,1,N/A,368,N/A
rc.15-15-sc-repair.dft,OOM,1,N/A,336,N/A
rc.2-1-hc-repair.dft,OOM,1,N/A,71,N/A
rc.2-1-sc-repair.dft,Timeout,1,N/A,39,N/A
rc.2-2-hc-repair.dft,OOM,1,N/A,82,N/A
rc.2-2-sc-repair.dft,OOM,1,N/A,50,N/A
rc.2-3-hc-repair.dft,OOM,1,N/A,92,N/A
rc.2-3-sc-repair.dft,OOM,1,N/A,60,N/A
rc.2-4-hc-repair.dft,OOM,1,N/A,102,N/A
rc.2-4-sc-repair.dft,OOM,1,N/A,70,N/A
rc.20-1-hc-repair.dft,OOM,1,N/A,287,N/A
rc.20-1-sc-repair.dft,OOM,1,N/A,255,N/A
rc.20-20-hc-repair.dft,OOM,1,N/A,478,N/A
rc.20-20-sc-repair.dft,OOM,1,N/A,446,N/A
rc.25-1-hc-repair.dft,OOM,1,N/A,347,N/A
rc.25-1-sc-repair.dft,OOM,1,N/A,315,N/A
rc.25-25-hc-repair.dft,OOM,1,N/A,588,N/A
rc.25-25-sc-repair.dft,OOM,1,N/A,556,N/A
rc.3-1-hc-repair.dft,OOM,1,N/A,83,N/A
rc.3-1-sc-repair.dft,OOM,1,N/A,51,N/A
rc.3-2-hc-repair.dft,OOM,1,N/A,94,N/A
rc.3-2-sc-repair.dft,OOM,1,N/A,62,N/A
rc.3-3-hc-repair.dft,OOM,1,N/A,104,N/A
rc.3-3-sc-repair.dft,OOM,1,N/A,72,N/A
rc.3-4-hc-repair.dft,OOM,1,N/A,114,N/A
rc.3-4-sc-repair.dft,OOM,1,N/A,82,N/A
rc.30-1-hc-repair.dft,OOM,1,N/A,407,N/A
rc.30-1-sc-repair.dft,OOM,1,N/A,375,N/A
rc.30-30-hc-repair.dft,OOM,1,N/A,698,N/A
rc.30-30-sc-repair.dft,OOM,1,N/A,666,N/A
rc.4-1-hc-repair.dft,OOM,1,N/A,95,N/A
rc.4-1-sc-repair.dft,OOM,1,N/A,63,N/A
rc.4-2-hc-repair.dft,OOM,1,N/A,106,N/A
rc.4-2-sc-repair.dft,OOM,1,N/A,74,N/A
rc.4-3-hc-repair.dft,OOM,1,N/A,116,N/A
rc.4-3-sc-repair.dft,OOM,1,N/A,84,N/A
rc.4-4-hc-repair.dft,OOM,1,N/A,126,N/A
rc.4-4-sc-repair.dft,OOM,1,N/A,94,N/A
rc.5-1-hc-repair.dft,OOM,1,N/A,107,N/A
rc.5-1-sc-repair.dft,OOM,1,N/A,75,N/A
rc.5-5-hc-repair.dft,OOM,1,N/A,148,N/A
rc.5-5-sc-repair.dft,OOM,1,N/A,116,N/A
vgs_1-repair.dft,OOM,1,N/A,212,N/A
vgs_2-repair.dft,OOM,1,N/A,198,N/A
vgs_3-repair.dft,OOM,1,N/A,159,N/A
vgs_4-repair.dft,OOM,1,N/A,162,N/A
vgs_5-repair.dft,OOM,1,N/A,164,N/A
vgs_6-repair.dft,OOM,1,N/A,181,N/A
vgs_7-repair.dft,OOM,1,N/A,255,N/A
vgs_8-repair.dft,OOM,1,N/A,294,N/A
