benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
vgs_1-po-4.dft 1922 44 44 N/A N/A 1
vgs_2-po-4.dft 1688 36 36 N/A N/A 1
vgs_3-po-4.dft 1296 39 39 N/A N/A 1
vgs_4-po-4.dft 1200000 1 0 N/A N/A N/A
vgs_5-po-4.dft 1312 36 36 N/A N/A 1
vgs_6-po-4.dft 1406 38 38 N/A N/A 1
vgs_7-po-4.dft 2465 66 66 N/A N/A 1
vgs_8-po-4.dft 2952 67 67 N/A N/A 1
